brand,name,detail_url,concentration,main_accords,top_notes,middle_notes,base_notes,description,notes_score,season_score,day_night_score,gender,sizes
크리드,브와 뒤 포르투갈 오 드 퍼퓸,https://www.bysuco.com/product/show/22175,오 드 퍼퓸,우디 아로마틱 라벤더,베르가못,라벤더,샌달우드 시더 베티버 앰버그리스,포루투갈의 어느 여름날 숲 속의 그늘을 거니는듯한 향,woody(100.0) / aromatic(68.7) / lavender(61.1) / citrus(53.0) / powdery(51.8) / fresh spicy(50.8) / amber(47.8),winter(15.1) / spring(17.9) / summer(3.6) / fall(77.4),day(82.4) / night(43.0),Male,[50]
크리드,스프링 플라워 오 드 퍼퓸,https://www.bysuco.com/product/show/22184,오 드 퍼퓸,화이트 플로랄 시트러스 아로마틱,자몽 레몬 베르가못 그린 노트,화이트 플라워 자스민 살구 피치,앰버그리스 머스크 시더,풍부한 과일의 향이 부드러운 플로럴 향과 어우러져 어느 완벽한 봄날 아침에 느껴지는 영국식 정원의 향,fruity(100.0) / fresh(70.1) / white floral(67.1) / musky(62.6) / rose(58.4) / aquatic(55.5) / ozonic(54.5) / powdery(53.0) / sweet(50.4) / green(47.9),winter(20.7) / spring(66.0) / summer(7.5) / fall(9.2),day(98.9) / night(77.2),Female,"[30, 75]"
크리드,시트러스 비가라드 오 드 퍼퓸,https://www.bysuco.com/product/show/693912,오 드 퍼퓸,시트러스 아로마틱 그린,페티그레인 이탈리안 레몬,이탈리안 만다린 화이트 페퍼,아이티언 베티버 진저 민트,따뜻한 지중해의 햇살을 받아 어둠속에서 반짝이는 칵테일을 연상하게 하는 향,citrus(100.0) / aromatic(82.8) / fresh spicy(63.7) / green(60.8) / woody(59.1) / earthy(49.8) / fresh(45.6),winter(28.6) / spring(14.3) / summer(9.5) / fall(0.0),day(100.0) / night(89.5),Unisex,[100]
크리드,실버 마운틴 워터 오 드 퍼퓸,https://www.bysuco.com/product/show/9368,오 드 퍼퓸,시트러스 그린 프루티,베르가못 만다린 오렌지,그린티 블랙 커런트,머스크 페티그레인 샌달우드 갈바넘,감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향,citrus(100.0) / green(96.2) / fruity(74.8) / musky(70.4) / woody(69.3) / aromatic(65.7) / powdery(64.1) / fresh spicy(61.2) / fresh(46.1) / floral(45.3),winter(18.5) / spring(19.1) / summer(3.1) / fall(21.2),day(97.6) / night(96.8),Unisex,"[50, 100]"
크리드,아쿠아 플로렌티나 오 드 퍼퓸,https://www.bysuco.com/product/show/9372,오 드 퍼퓸,시트러스 프루티 우디,애플 플럼,베르가못 시칠리안 베르가못 레몬 배 로즈,화이트 그레이프 프룻 버지니아 시더 샌달우드,어느 여름날의 정원을 연상시키는 프루티하고 풍부한 향,powdery(100.0) / woody(94.6) / leather(72.6) / violet(68.3) / citrus(68.3) / fruity(67.6) / iris(61.1) / animalic(59.9) / floral(59.7) / fresh spicy(52.9),winter(21.1) / spring(19.3) / summer(7.0) / fall(86.3),day(68.6) / night(46.1),Female,"[30, 75]"
크리드,어벤투스 오 드 퍼퓸,https://www.bysuco.com/product/show/9370,오 드 퍼퓸,프루티 스위트 레더,베르가못 블랙 커런트 애플 레몬 핑크 페퍼,파인애플 패출리 모로칸 자스민,자작나무 머스크 오크 모스 암브록산 시더우드,용기와 힘 비전 그리고 성공을 기원하는 고급진 향,fruity(100.0) / sweet(68.4) / woody(66.0) / leather(64.0) / smoky(57.2) / citrus(57.1) / musky(54.4) / tropical(52.2) / fresh(52.0) / mossy(46.5),winter(11.2) / spring(11.3) / summer(3.5) / fall(43.7),day(97.5) / night(99.3),Male,"[50, 100, 30]"
크리드,어벤투스 코롱 오 드 퍼퓸,https://www.bysuco.com/product/show/22160,오 드 퍼퓸,시트러스 우디 머스크,만다린 오렌지 진저 핑크 페퍼,베티버 패출리 샌달우드,머스크 자작나무 통카 빈 때죽나무,전설적인 ‘어벤투스’에서 영감을 받아 더욱 대중적인 향으로 재해석한 남녀노소 누구나 즐길 수 있는 향.,citrus(100.0) / woody(96.5) / musky(80.2) / leather(68.2) / fresh spicy(61.5) / powdery(61.0) / smoky(60.6) / aromatic(56.8) / sweet(52.3) / earthy(52.3),winter(11.5) / spring(12.7) / summer(3.1) / fall(17.8),day(91.4) / night(100.0),Male,"[50, 100]"
크리드,어벤투스 포 허 오 드 퍼퓸,https://www.bysuco.com/product/show/9373,오 드 퍼퓸,프루트 우디 시트러스,그린 애플 베르가못 레몬 패출리 핑크 페퍼 바이올렛,머스크 로즈 샌달 우드 때죽나무,블랙 커런트 피치 앰버 라일락 일랑일랑,크리드 남성향의 상징 '어벤투스'의 파트너 향수로 플로럴하고 프루티한 느낌이 매력적인 향,fruity(100.0) / citrus(86.3) / woody(79.6) / powdery(75.4) / musky(74.8) / floral(61.3) / fresh(60.8) / amber(56.1) / soft spicy(55.7) / green(55.3),winter(38.6) / spring(64.2) / summer(14.5) / fall(34.7),day(92.5) / night(83.2),Female,"[30, 75]"
크리드,에롤파 오 드 퍼퓸,https://www.bysuco.com/product/show/225077,오 드 퍼퓸,시트러스 우디 프레쉬 스파이시,라임 베르가못 멜론 그린 노트 레몬 바이올렛 캐러웨,허벌 노트 소나무 진저 자스민 페퍼,앰버그리스 머스크 샌달우드 오크모스 시더,광활한 바다에서 느낄 수 있는 상쾌함을 담은,citrus(100.0) / fresh spicy(72.3) / woody(67.4) / green(60.9) / aromatic(58.2) / amber(57.5) / powdery(55.2) / fresh(52.1) / animalic(49.0) / floral(44.8),winter(19.2) / spring(22.8) / summer(4.0) / fall(8.1),day(84.1) / night(100.0),Male,"[50, 100]"
크리드,엘라다리아 오 드 퍼퓸,https://www.bysuco.com/product/show/3406311,오 드 퍼퓸,로즈 머스크 파우더리,만다린 베르가못 핑크페퍼,센티폴리아 장미 다마스크장미 장미 어코드 피오니 은방울꽃 파우더리 노트,머스크 바닐라 암브록산 캐시미어 우드,부드럽고 포근한 파스텔 부케 속에서 더욱 빛나는 우아한 장미 향 새벽의 은빛 안개가 장미 꽃잎을 감싸며 꿈과 욕망이 어우러진 몽환적인 정원을 그려냅니다. '엘라다리아'는 부드러운 햇살과 꽃들의 속삭임 속에서 은은하게 퍼지는 빛을 담아낸 현대적인 장미 향을 선사합니다.,rose(100.0) / musky(91.4) / powdery(83.3) / floral(79.6) / amber(67.3) / fresh(64.3) / citrus(54.2) / soft spicy(47.3) / white floral(46.1) / vanilla(44.9),winter(56.8) / spring(24.7) / summer(15.8) / fall(34.8),day(100.0) / night(87.8),Female,"[30, 75]"
