brand,name,size_ml,price_krw,detail_url,description,부향률,메인 어코드,탑 노트,미들 노트,베이스 노트,향 설명,image_url,parse_path,fail_reason
크리드,아쿠아 플로렌티나 오 드 퍼퓸,75ml,328420.0,https://www.bysuco.com/product/show/9372,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 프루티 / 우디\n\n[메인 노트]\n- 탑 노트: 애플, 플럼\n- 미들 노트: 베르가못, 시칠리안 베르가못, 레몬, 배, 로즈\n- 베이스 노트: 화이트 그레이프 프룻, 버지니아 시더, 샌달우드\n\n[향 설명]\n- 어느 여름날의 정원을 연상시키는 프루티하고 풍부한 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"시트러스, 프루티, 우디","애플, 플럼","베르가못, 시칠리안 베르가못, 레몬, 배, 로즈","화이트 그레이프 프룻, 버지니아 시더, 샌달우드",어느 여름날의 정원을 연상시키는 프루티하고 풍부한 향,,,request_failed(search)
킬리안,스모킹 핫 오 드 퍼퓸 리필,100ml,388600.0,https://www.bysuco.com/product/show/225438,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 토바코 / 프루티 / 바닐라\n\n[메인 노트]\n- 탑 노트: 애플, 스모크, 시나몬\n- 미들 노트: 토바코, 모스\n- 베이스 노트: 버번 바닐라, 오르카녹스\n\n[향 설명]\n- 코냑의 오크 그리고 애플 타바코의 세련된 조화\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"토바코, 프루티, 바닐라","애플, 스모크, 시나몬","토바코, 모스","버번 바닐라, 오르카녹스",코냑의 오크 그리고 애플 타바코의 세련된 조화,,,request_failed(search)
산타 마리아 노벨라,로사 오 드 코롱,50ml,73000.0,https://www.bysuco.com/product/show/3406903,[부향률] \n- 오 드 코롱\n\n[메인 어코드]\n- 로즈 / 파우더리\n\n[메인 노트]\n- 싱글 노트: 타이프 로즈 \n\n[향 설명]\n- 장미 정원에 가득찬 꽃잎을 느낄 수 있는 싱그러우면서도 관능적인 향,오 드 코롱,"로즈, 파우더리",,,,장미 정원에 가득찬 꽃잎을 느낄 수 있는 싱그러우면서도 관능적인 향,,,request_failed(search)
베르사체,뿌르 옴므 딜런 블루 오 드 뚜왈렛,100ml,105400.0,https://www.bysuco.com/product/show/33305,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 앰버 / 시트러스 / 프레쉬 스파이스\n\n[메인 노트]\n- 탑 노트: 베르가못, 워터리 노트, 자몽, 무화과 잎\n- 미들 노트: 암브록산, 블랙페퍼, 패출리, 바이올렛 잎, 파피루스\n- 베이스 노트: 인센스, 머스크, 통카빈, 샤프란\n\n[향 설명]\n- 모던하면서도 프레쉬하며 부드러운 신사의 향",오 드 뚜왈렛,"앰버, 시트러스, 프레쉬 스파이스","베르가못, 워터리 노트, 자몽, 무화과 잎","암브록산, 블랙페퍼, 패출리, 바이올렛 잎, 파피루스","인센스, 머스크, 통카빈, 샤프란",모던하면서도 프레쉬하며 부드러운 신사의 향,,,request_failed(search)
메모,오 드 메모 오 드 퍼퓸,100ml,294200.0,https://www.bysuco.com/product/show/23274,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 레더 / 그린\n\n[메인 노트]\n- 탑 노트: 그린티, 베르가못, 레몬\n- 미들 노트: 자스민, 아이리스, 샤프론\n- 베이스 노트: 레더, 모스, 화이트 머스크\n\n[향 설명]\n- 파리의 하늘을 바라보며",오 드 퍼퓸,"시트러스, 레더, 그린","그린티, 베르가못, 레몬","자스민, 아이리스, 샤프론","레더, 모스, 화이트 머스크",파리의 하늘을 바라보며,,,request_failed(search)
겔랑,아쿠아 알레고리아 베르가못 칼라브리아 오 드 뚜왈렛,75ml,119560.0,https://www.bysuco.com/product/show/22704,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 웜 스파이시 / 아로마틱\n\n[메인 노트]\n- 탑 노트: 칼라브리안 베르가못, 페티그레인\n- 미들 노트: 진저, 카다멈\n- 베이스 노트: 화이트 머스크, 우디 노트\n\n[향 설명]\n- 스파이시함과 따뜻함을 더하고 부드럽게 감싸며 마무리하는 향",오 드 뚜왈렛,"시트러스, 웜 스파이시, 아로마틱","칼라브리안 베르가못, 페티그레인","진저, 카다멈","화이트 머스크, 우디 노트",스파이시함과 따뜻함을 더하고 부드럽게 감싸며 마무리하는 향,,,request_failed(search)
지방시,젠틀맨 오 드 뚜왈렛 인텐스,100ml,134900.0,https://www.bysuco.com/product/show/97069,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 우디 / 아로마틱 / 아이리스\n\n[메인 노트]\n- 탑 노트: 베르가못, 카다멈, 바질\n- 미들 노트: 블루 아이리스, 시프러스\n- 베이스 노트: 버지니아 시더우드, 쿠마\n\n[향 설명]\n- 푸른 아이리스의 싱그러움, 넉넉한 시더 우드의 강력함을 가진 향",오 드 뚜왈렛,"우디, 아로마틱, 아이리스","베르가못, 카다멈, 바질","블루 아이리스, 시프러스","버지니아 시더우드, 쿠마","푸른 아이리스의 싱그러움, 넉넉한 시더 우드의 강력함을 가진 향",,,request_failed(search)
겔랑,샹젤리제 오 드 퍼퓸,75ml,163220.0,https://www.bysuco.com/product/show/22688,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 플로랄 / 옐로우 플로랄 / 우디\n\n[메인 노트]\n- 탑 노트: 미모사 리프, 로즈 페탈\n- 미들 노트: 미모사, 부들레아, 카시스\n- 베이스 노트: 아몬드 트리, 우디 노트, 바닐라, 히비스커스 씨드\n\n[향 설명]\n- 빛의 도시에서 만난 향기",오 드 퍼퓸,"플로랄, 옐로우 플로랄, 우디","미모사 리프, 로즈 페탈","미모사, 부들레아, 카시스","아몬드 트리, 우디 노트, 바닐라, 히비스커스 씨드",빛의 도시에서 만난 향기,,,request_failed(search)
비디케이,빠 쓰 수아 오 드 퍼퓸,10ml,65000.0,https://www.bysuco.com/product/show/3406552,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티, 화이트 플로랄, 우디\n\n[메인 노트]\n- 탑 노트: 진저, 만다린 오렌지, 블랙 페퍼\n- 미들 노트: 모로칸 자스민, 오렌지 블라썸, 모과\n- 베이스 노트: 캐시메란, 싱가포르 파출리, 앰버 우드\n\n[향 설명]\n- 신비롭고 감각적인 파리의 밤을 표현한 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"프루티, 화이트 플로랄, 우디","진저, 만다린 오렌지, 블랙 페퍼","모로칸 자스민, 오렌지 블라썸, 모과","캐시메란, 싱가포르 파출리, 앰버 우드",신비롭고 감각적인 파리의 밤을 표현한 향,,,request_failed(search)
디올,쁘와종 걸 오 드 뚜왈렛,30ml,82000.0,https://www.bysuco.com/product/show/225095,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 바닐라 / 스위트\n\n[메인 노트]\n- 탑 노트: 오렌지, 비터 오렌지, 레몬\n- 미들 노트: 오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈\n- 베이스 노트: 바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란\n\n[향 설명]\n- 독특한 비트를 지닌 후각적 구성의 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"시트러스, 바닐라, 스위트","오렌지, 비터 오렌지, 레몬","오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈","바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란",독특한 비트를 지닌 후각적 구성의 향,,,request_failed(search)
디올,쁘와종 걸 오 드 뚜왈렛,50ml,129000.0,https://www.bysuco.com/product/show/225095,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 바닐라 / 스위트\n\n[메인 노트]\n- 탑 노트: 오렌지, 비터 오렌지, 레몬\n- 미들 노트: 오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈\n- 베이스 노트: 바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란\n\n[향 설명]\n- 독특한 비트를 지닌 후각적 구성의 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"시트러스, 바닐라, 스위트","오렌지, 비터 오렌지, 레몬","오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈","바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란",독특한 비트를 지닌 후각적 구성의 향,,,request_failed(search)
디올,쁘와종 걸 오 드 뚜왈렛,100ml,199800.0,https://www.bysuco.com/product/show/225095,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 바닐라 / 스위트\n\n[메인 노트]\n- 탑 노트: 오렌지, 비터 오렌지, 레몬\n- 미들 노트: 오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈\n- 베이스 노트: 바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란\n\n[향 설명]\n- 독특한 비트를 지닌 후각적 구성의 향\n\n*본 제품은 아시아에서 유통되는 상품이 아닌, 유럽에서 유통되는 상품입니다.",오 드 퍼퓸,"시트러스, 바닐라, 스위트","오렌지, 비터 오렌지, 레몬","오렌지 블로썸, 네롤리, 그라스 로즈, 다마스크 로즈","바닐라, 카라멜, 통카빈, 헬리오트로프, 캐시미란",독특한 비트를 지닌 후각적 구성의 향,,,request_failed(search)
