brand,name,size_ml,price_krw,detail_url,description,부향률,메인 어코드,탑 노트,미들 노트,베이스 노트,향 설명,image_url,parse_path,fail_reason
크리드,어벤투스 오 드 퍼퓸,50ml,255000.0,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"프루티, 스위트, 레더","베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼","파인애플, 패출리, 모로칸 자스민","자작나무, 머스크, 오크 모스, 암브록산, 시더우드","용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향",https://cf.bysuco.net/25aa36916334ba38fde137e024b1727f_cvt.webp,detail:meta_og:image,
크리드,어벤투스 오 드 퍼퓸,100ml,399220.0,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"프루티, 스위트, 레더","베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼","파인애플, 패출리, 모로칸 자스민","자작나무, 머스크, 오크 모스, 암브록산, 시더우드","용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향",https://cf.bysuco.net/25aa36916334ba38fde137e024b1727f_cvt.webp,detail:meta_og:image,
톰 포드,오드 우드 오 드 퍼퓸,30ml,179000.0,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향",오 드 퍼퓸,"우디, 오우드, 웜 스파이시",,,,청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향,https://cf.bysuco.net/b26c9b393726d01fd533ef5cabcc632f_cvt.webp,detail:meta_og:image,
톰 포드,오드 우드 오 드 퍼퓸,50ml,249000.0,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향",오 드 퍼퓸,"우디, 오우드, 웜 스파이시",,,,청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향,https://cf.bysuco.net/b26c9b393726d01fd533ef5cabcc632f_cvt.webp,detail:meta_og:image,
이솝,테싯 오 드 퍼퓸,50ml,135000.0,https://www.bysuco.com/product/show/9970,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 아로마틱 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 유자, 시트러스\n- 미들 노트: 바질\n- 베이스 노트: 베티버, 클로브\n\n[향 설명]\n- 이솝의 시그니처 향기로 따뜻하고 생기넘치며 마음을 릴렉싱 시켜주는 향",오 드 퍼퓸,"시트러스, 아로마틱, 프레쉬 스파이시","유자, 시트러스",바질,"베티버, 클로브",이솝의 시그니처 향기로 따뜻하고 생기넘치며 마음을 릴렉싱 시켜주는 향,https://cf.bysuco.net/fb3db1f776b96fd2bd74015405501147.jpg,detail:meta_og:image,
크리드,실버 마운틴 워터 오 드 퍼퓸,50ml,229000.0,https://www.bysuco.com/product/show/9368,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 그린 / 프루티\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지\n- 미들 노트: 그린티, 블랙 커런트\n- 베이스 노트: 머스크, 페티그레인, 샌달우드, 갈바넘\n\n[향 설명]\n- 감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"시트러스, 그린, 프루티","베르가못, 만다린 오렌지","그린티, 블랙 커런트","머스크, 페티그레인, 샌달우드, 갈바넘",감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향,https://cf.bysuco.net/accec9fa9c250533933837c2c1d19e95.jpg,detail:meta_og:image,
크리드,실버 마운틴 워터 오 드 퍼퓸,100ml,340220.0,https://www.bysuco.com/product/show/9368,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 그린 / 프루티\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지\n- 미들 노트: 그린티, 블랙 커런트\n- 베이스 노트: 머스크, 페티그레인, 샌달우드, 갈바넘\n\n[향 설명]\n- 감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다.",오 드 퍼퓸,"시트러스, 그린, 프루티","베르가못, 만다린 오렌지","그린티, 블랙 커런트","머스크, 페티그레인, 샌달우드, 갈바넘",감귤에서 느낄 수 있는 시트러스 계열과 우디 계열의 자연스러운 조합으로 산속 깨끗한 물줄기같이 청량하고 상쾌한 향,https://cf.bysuco.net/accec9fa9c250533933837c2c1d19e95.jpg,detail:meta_og:image,
킬리안,문라이트 인 헤븐 오 드 퍼퓸,50ml,249000.0,https://www.bysuco.com/product/show/10520,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 스위트 / 시트러스 / 트로피칼\n\n[메인 노트]\n- 탑 노트 : 자몽, 핑크페퍼, 레몬\n- 미들 노트: 망고, 코코넛, 쌀\n- 베이스 노트 : 베티버, 통카빈\n\n[향 설명]\n- 이국적인 매력과 자연스러움이 돋보이는 향",오 드 퍼퓸,"스위트, 시트러스, 트로피칼","자몽, 핑크페퍼, 레몬","망고, 코코넛, 쌀","베티버, 통카빈",이국적인 매력과 자연스러움이 돋보이는 향,https://cf.bysuco.net/5eededc3a84f20475901cdb07985f77c_cvt.webp,detail:meta_og:image,
딥티크,오 데 썽 오 드 뚜왈렛,50ml,130000.0,https://www.bysuco.com/product/show/21314,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 플로랄 / 우디\n\n[메인 노트]\n- 탑 노트: 오렌지 블라썸, 비터 오렌지\n- 미들 노트: 주니퍼 베리\n- 베이스 노트: 안젤리카, 페출리\n\n[향 설명]\n- 감각의 물 또는 에센스의 물로 해석되는 향",오 드 뚜왈렛,"시트러스, 플로랄, 우디","오렌지 블라썸, 비터 오렌지",주니퍼 베리,"안젤리카, 페출리",감각의 물 또는 에센스의 물로 해석되는 향,https://cf.bysuco.net/1feebb4d88474e51759d4f8f4e71b603.jpg,detail:meta_og:image,
딥티크,오 데 썽 오 드 뚜왈렛,100ml,205700.0,https://www.bysuco.com/product/show/21314,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 플로랄 / 우디\n\n[메인 노트]\n- 탑 노트: 오렌지 블라썸, 비터 오렌지\n- 미들 노트: 주니퍼 베리\n- 베이스 노트: 안젤리카, 페출리\n\n[향 설명]\n- 감각의 물 또는 에센스의 물로 해석되는 향",오 드 뚜왈렛,"시트러스, 플로랄, 우디","오렌지 블라썸, 비터 오렌지",주니퍼 베리,"안젤리카, 페출리",감각의 물 또는 에센스의 물로 해석되는 향,https://cf.bysuco.net/1feebb4d88474e51759d4f8f4e71b603.jpg,detail:meta_og:image,
아쿠아 디 파르마,미르토 디 파나레아 오 드 뚜왈렛,30ml,62000.0,https://www.bysuco.com/product/show/9275,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 아로마틱 / 시트러스 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 머틀, 레몬, 베르가못, 바질\n- 미들 노트: 씨 노트, 자스민, 로즈\n- 베이스 노트: 주니퍼, 시더, 앰버\n\n[향 설명]\n- 상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출",오 드 뚜왈렛,"아로마틱, 시트러스, 프레쉬 스파이시","머틀, 레몬, 베르가못, 바질","씨 노트, 자스민, 로즈","주니퍼, 시더, 앰버",상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출,https://cf.bysuco.net/8f26b010bf531a909f76335bcc95680c.jpg,detail:meta_og:image,
딥티크,플레르 드 뽀 오 드 퍼퓸,75ml,231660.0,https://www.bysuco.com/product/show/10155,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 머스크 / 파우더리 / 아이리스\n\n[메인 노트]\n- 탑 노트: 알데하이드, 핑크 페퍼, 앤젤리카, 베르가못\n- 미들 노트: 아이리스, 터키쉬 장미\n- 베이스 노트: 머스크, 암브레트, 당근, 앰버그리스, 샌달우드, 레더, 앰버우드\n\n[향 설명]\n- 달콤한 숨소리로 로맨틱한 포옹을 하는 듯한 관능적인 체취를 느낄 수 있는 향",오 드 퍼퓸,"머스크, 파우더리, 아이리스","알데하이드, 핑크 페퍼, 앤젤리카, 베르가못","아이리스, 터키쉬 장미","머스크, 암브레트, 당근, 앰버그리스, 샌달우드, 레더, 앰버우드",달콤한 숨소리로 로맨틱한 포옹을 하는 듯한 관능적인 체취를 느낄 수 있는 향,https://cf.bysuco.net/674f1342fa588659762bd7e538e87297_cvt.webp,detail:meta_og:image,
킬리안,엔젤스 쉐어 오 드 퍼퓸,50ml,249000.0,https://www.bysuco.com/product/show/10518,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 웜 스파이시 / 스위트\n\n[메인 노트]\n- 탑 노트: 코냑\n- 미들 노트: 시나몬, 통카 빈, 오크\n- 베이스 노트: 바닐라, 프랄린, 샌달우드\n\n[향 설명]\n- 오크통에서 오래 숙성된 코냑을 떠올리며 만든 향",오 드 퍼퓸,"우디, 웜 스파이시, 스위트",코냑,"시나몬, 통카 빈, 오크","바닐라, 프랄린, 샌달우드",오크통에서 오래 숙성된 코냑을 떠올리며 만든 향,https://cf.bysuco.net/ba0350b6a30a44ffaef857f7b8c43692.jpg,detail:meta_og:image,
바이레도,블랑쉬 오 드 퍼퓸,50ml,180000.0,https://www.bysuco.com/product/show/9353,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프레시 / 알데하이드 / 플로랄\n\n[메인 노트]\n- 탑 노트: 알데하이드, 로즈, 핑크페퍼\n- 미들 노트: 피오니, 바이올렛, 아프리칸 오렌지 플라워\n- 베이스 노트: 머스크, 우디 노트, 샌달우드\n\n[향 설명]\n- 파우더리하지만 산뜻한 세탁 비누의 향",오 드 퍼퓸,"프레시, 알데하이드, 플로랄","알데하이드, 로즈, 핑크페퍼","피오니, 바이올렛, 아프리칸 오렌지 플라워","머스크, 우디 노트, 샌달우드",파우더리하지만 산뜻한 세탁 비누의 향,https://cf.bysuco.net/ae913c3a0653de6ebd1927c6a9a9c865.jpg,detail:meta_og:image,
르 라보,어나더 13 오 드 퍼퓸,30ml,181000.0,https://www.bysuco.com/product/show/3406555,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 머스크 / 앰버 / 우디\n\n[메인 노트]\n- 탑 노트: 페어, 애플, 시트러스\n- 미들 노트: 암브레트, 초산 살리실산, 모스, 자스민\n- 베이스 노트: 이소이수퍼, 세타록스, 암브레톨리드\n\n[향 설명]\n- 백지장과 같이 순수하며 새하얀 느낌을 지닌 향으로 마치 캘리포니아 절벽 꼭대기에 있는 집처럼 아주 날카로운 매력을 갖고 있다.",오 드 퍼퓸,"머스크, 앰버, 우디","페어, 애플, 시트러스","암브레트, 초산 살리실산, 모스, 자스민","이소이수퍼, 세타록스, 암브레톨리드",백지장과 같이 순수하며 새하얀 느낌을 지닌 향으로 마치 캘리포니아 절벽 꼭대기에 있는 집처럼 아주 날카로운 매력을 갖고 있다.,https://cf.bysuco.net/8aebfa824deeae917bf0ac019d49db8a.jpg,detail:meta_og:image,
메종 마르지엘라,레이지 선데이 모닝 오 드 뚜왈렛,30ml,75000.0,https://www.bysuco.com/product/show/10370,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 머스크 / 프레쉬 / 화이트 플로랄\n\n[메인 노트]\n- 탑 노트: 알데하이드, 릴리오브더밸리, 페어\n- 미들 노트: 장미, 아이리스, 오렌지 블로썸\n- 베이스 노트: 화이트 머스크, 암브레트, 인도네시아 페출리 리프\n\n[향 설명]\n- 여름의 일요일 아침, 갓 세탁한 린넨 시트의 부드러움에 잠에서 깨어나 깨끗한 햇살이 피부를 부드럽고 따뜻하게 하는 것을 느낄 수 있는 향",오 드 뚜왈렛,"머스크, 프레쉬, 화이트 플로랄","알데하이드, 릴리오브더밸리, 페어","장미, 아이리스, 오렌지 블로썸","화이트 머스크, 암브레트, 인도네시아 페출리 리프","여름의 일요일 아침, 갓 세탁한 린넨 시트의 부드러움에 잠에서 깨어나 깨끗한 햇살이 피부를 부드럽고 따뜻하게 하는 것을 느낄 수 있는 향",https://cf.bysuco.net/31d1d9e818da36bf16166541d46f7879.jpg,detail:meta_og:image,
메종 마르지엘라,레이지 선데이 모닝 오 드 뚜왈렛,100ml,139620.0,https://www.bysuco.com/product/show/10370,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 머스크 / 프레쉬 / 화이트 플로랄\n\n[메인 노트]\n- 탑 노트: 알데하이드, 릴리오브더밸리, 페어\n- 미들 노트: 장미, 아이리스, 오렌지 블로썸\n- 베이스 노트: 화이트 머스크, 암브레트, 인도네시아 페출리 리프\n\n[향 설명]\n- 여름의 일요일 아침, 갓 세탁한 린넨 시트의 부드러움에 잠에서 깨어나 깨끗한 햇살이 피부를 부드럽고 따뜻하게 하는 것을 느낄 수 있는 향",오 드 뚜왈렛,"머스크, 프레쉬, 화이트 플로랄","알데하이드, 릴리오브더밸리, 페어","장미, 아이리스, 오렌지 블로썸","화이트 머스크, 암브레트, 인도네시아 페출리 리프","여름의 일요일 아침, 갓 세탁한 린넨 시트의 부드러움에 잠에서 깨어나 깨끗한 햇살이 피부를 부드럽고 따뜻하게 하는 것을 느낄 수 있는 향",https://cf.bysuco.net/31d1d9e818da36bf16166541d46f7879.jpg,detail:meta_og:image,
아쿠아 디 파르마,피코 디 아말피 오 드 뚜왈렛,30ml,62000.0,https://www.bysuco.com/product/show/9274,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 우디 / 푸르티\n\n[메인 노트]\n- 탑 노트: 자몽, 레몬, 베르가못, 시트론\n- 미들 노트: 피그 넥타르, 자스민, 핑크페퍼\n- 베이스 노트: 피그 트리, 시더, 벤조인\n\n[향 설명]\n- 무화과와 시트러스의 조화로 꺠끗하면서도 활력적인 이미지 연출",오 드 뚜왈렛,"시트러스, 우디, 푸르티","자몽, 레몬, 베르가못, 시트론","피그 넥타르, 자스민, 핑크페퍼","피그 트리, 시더, 벤조인",무화과와 시트러스의 조화로 꺠끗하면서도 활력적인 이미지 연출,https://cf.bysuco.net/a3703d099cf31e4ae1c08caefe8daec6.jpg,detail:meta_og:image,
프레데릭 말,포트레이트 오브 어 레이디 오 드 퍼퓸,50ml,304820.0,https://www.bysuco.com/product/show/21121,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 웜 스파이시 / 앰버 / 로즈\n\n[메인 노트]\n- 탑 노트: 로즈, 클로브, 라즈베리, 블랙 커런트, 시나몬\n- 미들 노트: 페출리, 인센스, 샌달우드\n- 베이스 노트: 머스크, 벤조인, 앰버\n\n[향 설명]\n- 마치 자석처럼 사람을 유혹하고 오감을 만족시키는 아름다움, 최고의 터키쉬 로즈 에센스가 방대한 양으로 사용된 새로운 개념의 오리엔탈 로즈의 향",오 드 퍼퓸,"웜 스파이시, 앰버, 로즈","로즈, 클로브, 라즈베리, 블랙 커런트, 시나몬","페출리, 인센스, 샌달우드","머스크, 벤조인, 앰버","마치 자석처럼 사람을 유혹하고 오감을 만족시키는 아름다움, 최고의 터키쉬 로즈 에센스가 방대한 양으로 사용된 새로운 개념의 오리엔탈 로즈의 향",https://cf.bysuco.net/a5b284da3da17dcc0a57091be03a2f98.jpg,detail:meta_og:image,
프레데릭 말,포트레이트 오브 어 레이디 오 드 퍼퓸,100ml,418100.0,https://www.bysuco.com/product/show/21121,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 웜 스파이시 / 앰버 / 로즈\n\n[메인 노트]\n- 탑 노트: 로즈, 클로브, 라즈베리, 블랙 커런트, 시나몬\n- 미들 노트: 페출리, 인센스, 샌달우드\n- 베이스 노트: 머스크, 벤조인, 앰버\n\n[향 설명]\n- 마치 자석처럼 사람을 유혹하고 오감을 만족시키는 아름다움, 최고의 터키쉬 로즈 에센스가 방대한 양으로 사용된 새로운 개념의 오리엔탈 로즈의 향",오 드 퍼퓸,"웜 스파이시, 앰버, 로즈","로즈, 클로브, 라즈베리, 블랙 커런트, 시나몬","페출리, 인센스, 샌달우드","머스크, 벤조인, 앰버","마치 자석처럼 사람을 유혹하고 오감을 만족시키는 아름다움, 최고의 터키쉬 로즈 에센스가 방대한 양으로 사용된 새로운 개념의 오리엔탈 로즈의 향",https://cf.bysuco.net/a5b284da3da17dcc0a57091be03a2f98.jpg,detail:meta_og:image,
톰 포드,블랙 오키드 오 드 퍼퓸,30ml,119000.0,https://www.bysuco.com/product/show/9871,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 웜 스파이시 / 얼시 / 우디\n\n[메인 노트]\n- 탑 노트: 트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬\n- 미들 노트: 오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑\n- 베이스 노트: 멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버\n\n[향 설명]\n- 어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수",오 드 퍼퓸,"웜 스파이시, 얼시, 우디","트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬","오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑","멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버",어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수,https://cf.bysuco.net/61ccae6b4ac4309571da6f3f510f6c0c.jpg,detail:meta_og:image,
톰 포드,블랙 오키드 오 드 퍼퓸,50ml,149000.0,https://www.bysuco.com/product/show/9871,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 웜 스파이시 / 얼시 / 우디\n\n[메인 노트]\n- 탑 노트: 트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬\n- 미들 노트: 오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑\n- 베이스 노트: 멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버\n\n[향 설명]\n- 어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수",오 드 퍼퓸,"웜 스파이시, 얼시, 우디","트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬","오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑","멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버",어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수,https://cf.bysuco.net/61ccae6b4ac4309571da6f3f510f6c0c.jpg,detail:meta_og:image,
톰 포드,블랙 오키드 오 드 퍼퓸,100ml,222220.0,https://www.bysuco.com/product/show/9871,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 웜 스파이시 / 얼시 / 우디\n\n[메인 노트]\n- 탑 노트: 트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬\n- 미들 노트: 오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑\n- 베이스 노트: 멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버\n\n[향 설명]\n- 어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수",오 드 퍼퓸,"웜 스파이시, 얼시, 우디","트러플, 가데니아, 블랙 커런트, 일랑일랑, 자스민, 베르가못, 만다린 오렌지, 아말피 레몬","오키드, 스파이시, 가데니아, 프루티 노트, 일랑일랑","멕시칸 초콜렛, 페출리, 바닐라, 인센스, 앰버",어두운 향이 짙게 잘 어우러진 고급스러우며 감각적인 향수,https://cf.bysuco.net/61ccae6b4ac4309571da6f3f510f6c0c.jpg,detail:meta_og:image,
딥티크,오르페옹 오 드 퍼퓸,75ml,241100.0,https://www.bysuco.com/product/show/10558,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 파우더리 / 우디 / 아로마틱\n\n[메인 노트]\n- 탑 노트: 주니퍼 베리 / 베르가못\n- 미들 노트: 자스민\n- 베이스 노트: 파우더리 노트, 시더, 통카 빈\n\n[향 설명]\n- 오래된 바의 추억을 흡수한 목재의 편안한 향과 피어오르는 타바코 연기 그리고 분가루 향내가 교차되는 분위기 있는 향",오 드 퍼퓸,"파우더리, 우디, 아로마틱","주니퍼 베리, 베르가못",자스민,"파우더리 노트, 시더, 통카 빈",오래된 바의 추억을 흡수한 목재의 편안한 향과 피어오르는 타바코 연기 그리고 분가루 향내가 교차되는 분위기 있는 향,https://cf.bysuco.net/4b722975836a2e17226bfc5af864e36a_cvt.webp,detail:meta_og:image,
톰 포드,네롤리 포르토피노 오 드 퍼퓸,30ml,199000.0,https://www.bysuco.com/product/show/9879,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 화이트 플로랄 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀\n- 미들 노트: 아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸\n- 베이스 노트: 앰버, 암브레트, 앤젤리카\n\n[향 설명]\n- 가슴 깊이 시원해지는 존재감 있는 향",오 드 퍼퓸,"시트러스, 화이트 플로랄, 프레쉬 스파이시","베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀","아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸","앰버, 암브레트, 앤젤리카",가슴 깊이 시원해지는 존재감 있는 향,https://cf.bysuco.net/0a9b45d2077f0bff179a113c5810431e_cvt.webp,detail:meta_og:image,
톰 포드,네롤리 포르토피노 오 드 퍼퓸,50ml,288300.0,https://www.bysuco.com/product/show/9879,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 화이트 플로랄 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀\n- 미들 노트: 아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸\n- 베이스 노트: 앰버, 암브레트, 앤젤리카\n\n[향 설명]\n- 가슴 깊이 시원해지는 존재감 있는 향",오 드 퍼퓸,"시트러스, 화이트 플로랄, 프레쉬 스파이시","베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀","아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸","앰버, 암브레트, 앤젤리카",가슴 깊이 시원해지는 존재감 있는 향,https://cf.bysuco.net/0a9b45d2077f0bff179a113c5810431e_cvt.webp,detail:meta_og:image,
톰 포드,네롤리 포르토피노 오 드 퍼퓸,100ml,375620.0,https://www.bysuco.com/product/show/9879,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 화이트 플로랄 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀\n- 미들 노트: 아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸\n- 베이스 노트: 앰버, 암브레트, 앤젤리카\n\n[향 설명]\n- 가슴 깊이 시원해지는 존재감 있는 향",오 드 퍼퓸,"시트러스, 화이트 플로랄, 프레쉬 스파이시","베르가못, 만다린 오렌지, 레몬, 비터 오렌지, 라벤더, 로즈마리, 머틀","아프리칸 오렌지 플라워, 네롤리, 자스민, 피토스포룸","앰버, 암브레트, 앤젤리카",가슴 깊이 시원해지는 존재감 있는 향,https://cf.bysuco.net/0a9b45d2077f0bff179a113c5810431e_cvt.webp,detail:meta_og:image,
아쿠아 디 파르마,미르토 디 파나레아 오 드 뚜왈렛,150ml,193900.0,https://www.bysuco.com/product/show/23913,"[부향률] \n- 오 드 뚜왈렛\n\n[메인 어코드]\n- 시트러스 / 아로마틱 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 머틀, 레몬, 베르가못, 바질\n- 미들 노트: 씨 노트, 자스민, 로즈\n- 베이스 노트: 주니퍼, 시더, 앰버\n\n[향 설명]\n- 상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출",오 드 뚜왈렛,"시트러스, 아로마틱, 프레쉬 스파이시","머틀, 레몬, 베르가못, 바질","씨 노트, 자스민, 로즈","주니퍼, 시더, 앰버",상큼한 과일의 향과 바다의 향을 담아 시원하면서도 쾌할한 이미지 연출,https://cf.bysuco.net/8f26b010bf531a909f76335bcc95680c.jpg,detail:meta_og:image,
