perfume_name,notes_score,season_score,day_night_score
Hyle,aromatic(100.0) / citrus(86.9) / marine(85.1) / warm spicy(80.5) / lavender(66.7) / fresh spicy(57.5) / green(53.6) / patchouli(53.0) / amber(52.7) / salty(52.0),winter(13.3) / spring(66.7) / summer(6.7) / fall(15.0),day(45.0) / night(80.0)
Te Noir 29,woody(100.0) / fruity(86.6) / green(78.8) / sweet(66.8) / aromatic(57.6) / fresh(51.2) / earthy(47.0) / fresh spicy(47.0) / musky(44.1) / ozonic(44.1),winter(0.0) / spring(7.7) / summer(0.0) / fall(70.0),day(40.0) / night(40.0)
Fabulous,fruity(100.0) / sweet(74.6) / vanilla(62.4) / floral(60.4) / powdery(59.2) / fresh(56.9) / soft spicy(56.1) / lactonic(55.6) / citrus(50.6) / white floral(50.2),winter(7.6) / spring(17.6) / summer(0.8) / fall(20.8),day(87.0) / night(85.7)
White Suede Set,floral(100.0) / musky(100.0) / powdery(90.7) / fruity(90.7) / fresh(81.3) / citrus(79.0) / woody(76.7) / white floral(76.7) / rose(76.7) / leather(62.7),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(100.0) / night(100.0)
Jazz Club,tobacco(100.0) / sweet(88.9) / rum(83.8) / vanilla(83.2) / woody(71.6) / aromatic(66.5) / soft spicy(63.8) / amber(51.5) / powdery(46.0) / warm spicy(45.6),winter(19.3) / spring(14.0) / summer(4.5) / fall(97.7),day(22.5) / night(11.5)
Black Phantom,sweet(100.0) / warm spicy(90.9) / caramel(68.2) / chocolate(66.4) / coffee(66.4) / rum(63.5) / woody(62.1) / almond(59.0) / vanilla(52.8) / powdery(48.5),winter(19.9) / spring(20.8) / summer(7.1) / fall(100.0),day(21.7) / night(9.8)
La Tulip,floral(100.0) / green(85.4) / soft spicy(45.7) / fruity(43.1) / aromatic(42.6),winter(20.4) / spring(19.0) / summer(2.0) / fall(11.5),day(100.0) / night(52.6)
Musk Lavageur,warm spicy(100.0) / vanilla(82.7) / powdery(74.6) / musky(69.8) / cinnamon(64.8) / woody(63.4) / amber(62.3) / sweet(54.0) / lavender(49.8) / aromatic(49.6),winter(14.0) / spring(18.5) / summer(3.8) / fall(100.0),day(33.5) / night(16.9)
Original Vetiver,citrus(100.0) / woody(94.4) / aromatic(81.9) / fresh spicy(73.1) / earthy(69.1) / powdery(63.3) / musky(52.7) / amber(48.6) / green(47.5) / fresh(45.3),winter(12.7) / spring(15.9) / summer(3.3) / fall(14.1),day(100.0) / night(96.2)
Un Jardin sur Nil,citrus(100.0) / aromatic(85.2) / floral(76.8) / fresh spicy(74.2) / green(68.8) / fruity(64.5) / tropical(63.7) / powdery(61.1) / herbal(58.0) / sweet(57.8),winter(14.3) / spring(23.0) / summer(1.7) / fall(6.4),day(69.6) / night(100.0)
Mojave Ghost,floral(100.0) / woody(79.3) / powdery(77.2) / violet(68.9) / musky(60.6) / fruity(56.1) / amber(48.9) / citrus(45.9),winter(35.8) / spring(30.3) / summer(5.7) / fall(28.1),day(98.0) / night(88.2)
Santalle 33,woody(100.0) / powdery(65.0) / leather(59.4) / warm spicy(55.0) / violet(47.7),winter(30.1) / spring(39.1) / summer(16.8) / fall(73.5),day(78.2) / night(50.4)
White Suede,musky(100.0) / powdery(79.2) / leather(70.8) / white floral(56.5) / warm spicy(56.1) / amber(54.5) / woody(52.5) / fresh(49.5) / aromatic(48.4) / green(47.9),winter(16.9) / spring(22.7) / summer(2.5) / fall(64.8),day(77.4) / night(41.6)
Love Don't Be Chay,white floral(100.0) / sweet(80.3) / musky(76.9) / powdery(73.0) / citrus(55.4) / soft spicy(52.8) / aromatic(46.4),winter(15.2) / spring(18.2) / summer(24.2) / fall(79.2),day(83.3) / night(70.8)
Dawson,chocolate(100.0) / sweet(100.0) / warm spicy(100.0) / cacao(87.3),winter(0.0) / spring(100.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
