perfume_name,notes_score,season_score,day_night_score
Cologne Shield Orb Protection,citrus(100.0) / aromatic(76.0) / woody(71.5) / fresh spicy(68.7) / green(67.1),winter(41.1) / spring(20.8) / summer(13.0) / fall(16.7),day(87.7) / night(100.0)
Imperial Tea,white floral(100.0) / green(92.6) / aromatic(89.5) / citrus(87.8) / fresh spicy(86.7) / fresh(71.3) / marine(67.8) / musky(62.9) / floral(55.9) / powdery(51.8),winter(28.9) / spring(12.0) / summer(14.5) / fall(17.9),day(100.0) / night(94.9)
Eladaria,rose(100.0) / musky(91.4) / powdery(83.3) / floral(79.6) / amber(67.3) / fresh(64.3) / citrus(54.2) / soft spicy(47.3) / white floral(46.1) / vanilla(44.9),winter(56.8) / spring(24.7) / summer(15.8) / fall(34.8),day(100.0) / night(87.8)
Love in Black,powdery(100.0) / violet(99.6) / floral(70.3) / woody(68.0) / iris(63.2) / fruity(53.3) / musky(49.4) / fresh(49.3) / warm spicy(46.1) / rose(44.5),winter(17.8) / spring(76.9) / summer(11.0) / fall(95.7),day(78.3) / night(37.3)
Sacred Wood,woody(100.0) / powdery(68.0) / warm spicy(57.9) / balsamic(53.0) / amber(48.7) / lactonic(48.5) / aromatic(45.8),winter(19.6) / spring(19.1) / summer(4.3) / fall(92.9),day(63.5) / night(20.6)
Moscow Mule,citrus(100.0) / musky(63.1) / fresh spicy(62.7) / woody(59.7) / fresh(58.7) / floral(54.0) / green(49.0) / aromatic(47.5) / powdery(44.5),winter(39.1) / spring(43.3) / summer(9.2) / fall(19.9),day(77.2) / night(98.6)
Musk Wood,woody(100.0) / musky(80.1) / powdery(72.1) / citrus(68.1) / aromatic(59.3) / lavender(58.1) / fresh spicy(57.5),winter(5.6) / spring(66.7) / summer(0.0) / fall(90.9),day(18.2) / night(27.3)
Musk Invisible,powdery(100.0) / white floral(89.2) / yellow floral(89.2) / floral(71.4) / musky(69.4) / sweet(63.5) / woody(53.7) / amber(49.7),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Noir Extreme,warm spicy(100.0) / sweet(93.3) / vanilla(91.6) / woody(87.0) / powdery(69.6) / amber(66.8) / fresh spicy(63.7) / aromatic(62.1) / white floral(60.4) / balsamic(54.3),winter(9.0) / spring(8.5) / summer(1.3) / fall(100.0),day(31.1) / night(12.0)
Night Veils Casablanca Lily Extreme,white floral(100.0) / honey(72.8) / sweet(72.0) / tuberose(70.1) / fruity(61.7) / floral(54.5) / animalic(53.9) / lactonic(45.2),winter(22.9) / spring(13.1) / summer(2.8) / fall(72.3),day(93.2) / night(68.9)
Rose Prick,rose(100.0) / warm spicy(94.1) / patchouli(73.3) / fresh spicy(70.3) / earthy(58.3) / woody(56.0) / citrus(55.9) / vanilla(51.1) / floral(51.0) / herbal(47.9),winter(50.6) / spring(54.5) / summer(13.7) / fall(81.2),day(93.8) / night(44.6)
Eau Capitale,rose(100.0) / patchouli(87.7) / woody(67.0) / warm spicy(58.9) / citrus(57.2) / floral(53.6) / soft spicy(53.3) / earthy(53.1) / balsamic(47.3),winter(27.2) / spring(20.4) / summer(4.8) / fall(79.5),day(81.7) / night(35.5)
H24,aromatic(100.0) / yellow floral(73.4) / soft spicy(69.4) / woody(60.7) / green(57.2) / balsamic(47.7) / amber(45.3),winter(42.8) / spring(33.0) / summer(12.3) / fall(18.7),day(100.0) / night(94.5)
Oud Immortel,woody(100.0) / oud(89.6) / warm spicy(82.1) / citrus(77.8) / balsamic(66.6) / earthy(63.5) / patchouli(62.0) / amber(61.2) / fresh(59.9) / mossy(59.5),winter(20.8) / spring(32.6) / summer(3.2) / fall(82.7),day(58.9) / night(36.0)
Ami Aire,green(100.0) / violet(80.0) / white floral(80.0) / yellow floral(80.0) / aromatic(75.0) / fresh(70.0) / powdery(65.0) / woody(62.5) / fresh spicy(60.0) / floral(57.5),winter(25.0) / spring(0.0) / summer(0.0) / fall(0.0),day(100.0) / night(66.7)
Oud Satin Mood,rose(100.0) / floral(53.2) / oud(45.7) / amber(45.3) / vanilla(45.2),winter(15.2) / spring(16.0) / summer(5.9) / fall(100.0),day(34.8) / night(14.6)
Old Fashioned,amber(100.0) / warm spicy(82.8) / sweet(80.5) / herbal(72.8) / powdery(65.5) / balsamic(62.7) / woody(61.6) / aromatic(54.2) / nutty(50.7) / green(49.1),winter(29.0) / spring(17.0) / summer(10.2) / fall(98.2),day(38.1) / night(13.0)
No. 5 Eau Premiere,aldehydic(100.0) / woody(91.9) / fresh(86.6) / yellow floral(84.0) / white floral(80.4) / vanilla(73.2) / sweet(65.6) / powdery(57.0) / floral(56.7) / soapy(54.8),winter(7.2) / spring(14.1) / summer(2.1) / fall(63.5),day(94.1) / night(59.7)
Juniper Sling Eau de Toiletries,white floral(100.0) / citrus(80.0) / warm spicy(61.3) / woody(60.7) / floral(57.2) / tuberose(56.2) / aromatic(51.4) / sweet(50.3),winter(17.0) / spring(33.0) / summer(0.9) / fall(26.2),day(100.0) / night(85.2)
Juniper Sling,aromatic(100.0) / fresh spicy(89.7) / woody(67.9) / warm spicy(58.3) / citrus(46.9) / amber(46.8) / sweet(45.2) / musky(45.1),winter(24.0) / spring(16.7) / summer(1.3) / fall(20.3),day(87.7) / night(96.6)
Terre d'Hermes Parfum,citrus(100.0) / woody(76.2) / mossy(56.3) / amber(49.8) / earthy(48.4) / fresh spicy(46.8),winter(8.2) / spring(10.2) / summer(1.5) / fall(66.0),day(94.2) / night(70.5)
Peony & Blush Suede,floral(100.0) / rose(80.6) / fresh(78.7) / leather(54.9) / fruity(52.1) / musky(47.8),winter(27.4) / spring(28.9) / summer(2.8) / fall(23.1),day(100.0) / night(61.1)
Torino 22,woody(100.0) / aromatic(84.1) / warm spicy(59.6) / camphor(54.8) / fresh spicy(53.4) / citrus(53.0) / metallic(47.4) / musky(46.2) / leather(46.0),winter(18.5) / spring(7.7) / summer(2.9) / fall(56.6),day(100.0) / night(80.1)
Oud Extrae de Parfum,citrus(100.0) / aromatic(80.5) / fresh spicy(59.8) / smoky(57.5) / rose(53.0) / oud(53.0) / cannabis(53.0) / amber(50.7),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(0.0) / night(0.0)
Rosa Nobile,rose(100.0) / floral(84.7) / fresh(64.9) / citrus(59.1) / powdery(58.6) / musky(55.3) / fresh spicy(49.1) / violet(47.2) / woody(46.9),winter(23.8) / spring(28.5) / summer(2.0) / fall(25.9),day(97.3) / night(73.0)
Oud Wood,woody(100.0) / oud(77.8) / warm spicy(77.8) / aromatic(64.6) / vanilla(60.8) / balsamic(58.5) / fresh spicy(56.7) / amber(53.6) / powdery(52.4) / sweet(51.5),winter(12.9) / spring(11.6) / summer(3.2) / fall(95.7),day(53.2) / night(22.8)
Moonlight Patchouli,woody(100.0) / leather(95.1) / patchouli(94.0) / rose(86.2) / warm spicy(77.0) / earthy(70.8) / iris(68.1) / powdery(66.1) / cacao(55.1) / fruity(52.6),winter(17.2) / spring(15.8) / summer(2.9) / fall(84.7),day(48.6) / night(19.6)
Springtime in a Park,white floral(100.0) / fresh(88.9) / musky(75.0) / fruity(72.2) / green(63.6) / sweet(62.6) / powdery(52.5) / aquatic(52.5),winter(52.6) / spring(24.6) / summer(4.8) / fall(4.5),day(100.0) / night(60.1)
Blue Moon Ginger Dash,fresh(100.0) / citrus(86.6) / musky(81.8) / vodka(81.2) / fresh spicy(75.6) / amber(66.4) / aromatic(52.6) / ozonic(50.1) / powdery(45.0) / aldehydic(44.5),winter(37.0) / spring(25.1) / summer(17.6) / fall(11.1),day(72.0) / night(100.0)
Coffee Break,lavender(100.0) / vanilla(90.5) / coffee(82.8) / warm spicy(80.9) / aromatic(75.9) / lactonic(72.2) / fresh spicy(62.8) / sweet(59.2) / woody(59.0) / amber(54.4),winter(38.2) / spring(22.9) / summer(4.2) / fall(78.3),day(40.7) / night(16.4)
Mouschio Oro,musky(100.0) / powdery(72.7) / white floral(62.5) / sweet(43.4) / animalic(43.2),winter(18.8) / spring(25.9) / summer(3.5) / fall(76.6),day(66.2) / night(37.7)
Gris Charnel,woody(100.0) / warm spicy(88.2) / aromatic(70.8) / powdery(67.1) / fruity(56.9) / iris(55.8) / sweet(55.6) / earthy(50.3) / green(49.9) / vanilla(45.4),winter(22.2) / spring(12.3) / summer(3.9) / fall(87.4),day(61.9) / night(25.2)
Oud Silk Mood,rose(100.0) / oud(87.7) / woody(80.7) / floral(80.4) / herbal(56.6) / fresh spicy(55.5) / green(50.2) / citrus(48.4) / aromatic(44.2),winter(39.5) / spring(36.5) / summer(12.3) / fall(100.0),day(57.2) / night(26.0)
Gentle Fluidity Gold,vanilla(100.0) / powdery(71.0) / musky(68.8) / sweet(50.8) / fresh spicy(41.2),winter(24.9) / spring(15.0) / summer(3.8) / fall(89.1),day(80.0) / night(44.4)
Rose 31 (Bulk),woody(100.0) / rose(73.8) / fresh spicy(58.8) / aromatic(54.7) / amber(54.2) / musky(54.0) / earthy(47.3) / powdery(46.9) / oud(45.8),winter(21.3) / spring(22.3) / summer(3.4) / fall(53.8),day(94.8) / night(59.3)
Vanilla Sex,vanilla(100.0) / almond(76.0) / sweet(67.7) / nutty(57.6) / fruity(53.0) / powdery(52.2) / floral(45.6) / woody(44.7) / amber(44.7),winter(53.1) / spring(64.4) / summer(89.5) / fall(100.0),day(54.4) / night(32.7)
Vanilla Sex,vanilla(100.0) / almond(76.0) / sweet(67.7) / nutty(57.6) / fruity(53.0) / powdery(52.2) / floral(45.6) / woody(44.7) / amber(44.7),winter(53.1) / spring(64.4) / summer(89.5) / fall(100.0),day(54.4) / night(32.7)
Intoxicated,warm spicy(100.0) / coffee(57.0) / fresh spicy(56.6) / aromatic(50.6) / cinnamon(49.9),winter(19.1) / spring(21.0) / summer(4.2) / fall(99.7),day(41.2) / night(14.7)
Rose 31,woody(100.0) / rose(73.8) / fresh spicy(58.8) / aromatic(54.7) / amber(54.2) / musky(54.0) / earthy(47.3) / powdery(46.9) / oud(45.8),winter(21.3) / spring(22.3) / summer(3.4) / fall(53.8),day(94.8) / night(59.3)
English Oak & Hazelnut,woody(100.0) / nutty(49.9) / aromatic(39.1) / earthy(36.6) / powdery(35.1),winter(21.2) / spring(23.8) / summer(1.9) / fall(65.6),day(65.4) / night(43.8)
Magnolia Bliss,floral(100.0) / citrus(80.7) / fresh(66.0) / fruity(65.1) / musky(63.8) / powdery(57.6) / sweet(56.2) / amber(50.3) / fresh spicy(46.1) / aromatic(44.7),winter(67.9) / spring(50.5) / summer(8.7) / fall(9.1),day(100.0) / night(94.4)
Dark Lord,woody(100.0) / leather(85.1) / aromatic(70.5) / earthy(70.0) / fresh spicy(62.8) / animalic(55.5) / white floral(51.9) / green(50.0) / smoky(49.8) / citrus(48.6),winter(14.5) / spring(28.7) / summer(11.2) / fall(99.5),day(36.1) / night(12.7)
Iris Poudre,powdery(100.0) / woody(86.1) / iris(77.4) / violet(67.4) / musky(61.7) / earthy(57.3) / floral(56.3) / white floral(47.7) / aromatic(46.5) / sweet(45.1),winter(21.8) / spring(24.5) / summer(2.6) / fall(70.2),day(89.9) / night(40.9)
Beach Walk,yellow floral(100.0) / sweet(98.8) / coconut(94.3) / powdery(83.0) / vanilla(79.0) / musky(77.3) / woody(71.6) / citrus(70.2) / lactonic(55.9) / floral(50.3),winter(40.2) / spring(33.6) / summer(5.3) / fall(3.9),day(36.5) / night(100.0)
Eros,vanilla(100.0) / aromatic(92.2) / green(88.0) / fresh spicy(65.7) / amber(62.0) / fruity(55.3) / citrus(54.7) / woody(52.4) / sweet(52.1) / fresh(50.7),winter(20.4) / spring(23.1) / summer(5.0) / fall(84.2),day(90.6) / night(70.9)
Petit Martin,citrus(100.0) / aromatic(89.9) / green(88.9) / fresh spicy(74.3) / fresh(37.4),winter(25.0) / spring(100.0) / summer(16.7) / fall(0.0),day(100.0) / night(100.0)
Rose on Ice,ozonic(100.0) / aquatic(86.0) / aromatic(67.1) / green(66.1) / woody(61.1) / rose(59.7) / fresh spicy(57.1) / citrus(56.2) / musky(54.6) / powdery(46.1),winter(56.2) / spring(52.2) / summer(21.2) / fall(20.7),day(92.3) / night(100.0)
Eau Duelle,aromatic(100.0) / vanilla(91.3) / fresh spicy(73.8) / warm spicy(68.3) / balsamic(63.0) / amber(59.1) / powdery(54.9) / woody(51.1) / soft spicy(50.7) / sweet(48.0),winter(17.7) / spring(15.3) / summer(1.8) / fall(89.7),day(51.1) / night(29.7)
Miss Dior Blooming Bouquet Roller Pearl,floral(100.0) / rose(99.3) / citrus(77.9) / fresh(72.9) / fruity(62.9) / powdery(53.7) / musky(51.5) / sweet(45.5),winter(19.7) / spring(9.3) / summer(0.5) / fall(16.9),day(100.0) / night(77.8)
Synthetic Nature,white floral(100.0) / green(98.0) / fresh spicy(87.2) / fruity(81.5) / floral(81.2) / fresh(65.7) / aromatic(63.4) / woody(59.4) / soft spicy(48.0) / patchouli(46.5),winter(25.9) / spring(25.9) / summer(56.9) / fall(37.3),day(100.0) / night(88.1)
Himalayan,leather(100.0) / fruity(63.9) / woody(63.1) / oud(61.8) / warm spicy(59.6) / sweet(53.8) / musky(51.2) / earthy(51.0) / metallic(45.9) / powdery(45.3),winter(18.8) / spring(43.8) / summer(18.8) / fall(100.0),day(37.5) / night(4.2)
Himalaya,citrus(100.0) / woody(84.8) / powdery(71.1) / musky(66.4) / amber(56.7) / aromatic(54.0) / animalic(51.5) / fresh spicy(50.5) / balsamic(44.5),winter(22.6) / spring(26.1) / summer(3.7) / fall(34.4),day(97.4) / night(85.0)
Un Jardin Sur Le Toi,green(100.0) / fresh(95.4) / fruity(84.5) / rose(62.3) / floral(59.3) / sweet(58.5) / aromatic(53.4) / fresh spicy(48.7) / aquatic(44.4),winter(14.1) / spring(24.7) / summer(1.4) / fall(5.5),day(87.6) / night(99.4)
Mon Guerlain,vanilla(100.0) / lavender(71.5) / woody(70.3) / aromatic(67.8) / powdery(64.7) / balsamic(59.7) / sweet(59.0) / warm spicy(54.2) / fresh spicy(48.9) / iris(48.1),winter(16.7) / spring(28.4) / summer(2.8) / fall(81.8),day(86.4) / night(39.7)
Black Saffron,leather(100.0) / fruity(80.2) / woody(73.0) / aromatic(69.3) / warm spicy(66.8) / sweet(65.1) / powdery(56.5) / animalic(56.3) / metallic(51.7) / fresh spicy(51.5),winter(23.2) / spring(32.1) / summer(4.4) / fall(77.3),day(63.8) / night(29.3)
001 Women's,citrus(100.0) / green(94.8) / fresh(89.4) / white floral(84.0) / aquatic(82.2) / ozonic(82.2) / fruity(75.0) / floral(74.1) / musky(66.0) / powdery(57.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(100.0)
Le Jardin de Monsieur Lee,green(100.0) / sweet(78.8) / fruity(70.5) / tobacco(66.8) / fresh spicy(63.2) / earthy(57.6) / mossy(55.8) / herbal(53.9) / aromatic(50.3) / lavender(48.4),winter(33.3) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(0.0)
Un Jardin Sur La Lagoon,white floral(100.0) / marine(84.8) / floral(82.3) / woody(72.4) / aromatic(62.9) / salty(51.9) / aquatic(51.7) / citrus(50.9) / soft spicy(44.0),winter(37.1) / spring(49.5) / summer(6.9) / fall(16.1),day(91.0) / night(98.4)
Eau Sauvage,aromatic(100.0) / citrus(92.2) / fresh spicy(79.4) / woody(66.5) / earthy(56.3) / green(47.8) / mossy(47.7) / floral(44.7),winter(9.6) / spring(18.4) / summer(2.1) / fall(18.4),day(90.7) / night(99.7)
Voyage d'Hermes,warm spicy(100.0) / citrus(74.9) / green(72.9) / aromatic(72.5) / woody(61.9) / fresh(47.6) / musky(46.8),winter(9.8) / spring(20.6) / summer(0.8) / fall(19.2),day(81.1) / night(88.0)
Rose Freak,fruity(100.0) / mossy(89.8) / woody(86.3) / herbal(79.1) / earthy(78.7) / fresh(77.0) / rose(76.1) / floral(74.8) / tropical(71.8) / beeswax(71.0),winter(25.0) / spring(75.0) / summer(0.0) / fall(50.0),day(50.0) / night(0.0)
Libre Intense,vanilla(100.0) / white floral(80.4) / citrus(71.7) / lavender(70.3) / sweet(69.3) / aromatic(66.7) / amber(60.6) / powdery(49.1) / floral(48.3) / fresh spicy(47.6),winter(14.9) / spring(11.8) / summer(4.3) / fall(99.5),day(39.9) / night(23.1)
Bitter Peach,woody(100.0) / warm spicy(83.6) / vanilla(76.0) / fruity(75.8) / amber(74.7) / powdery(70.2) / sweet(69.6) / aromatic(56.6) / balsamic(55.7) / citrus(55.6),winter(48.1) / spring(42.5) / summer(18.8) / fall(58.6),day(83.6) / night(77.6)
Sunny Side Up,woody(100.0) / coconut(65.0) / vanilla(63.9) / powdery(63.8) / musky(58.8) / sweet(48.7) / amber(46.5) / warm spicy(45.3) / balsamic(44.4),winter(39.0) / spring(50.2) / summer(9.4) / fall(26.8),day(61.7) / night(92.2)
Erba Pura,fruity(100.0) / citrus(99.0) / sweet(84.4) / musky(76.7) / powdery(68.9) / vanilla(63.3) / amber(55.9) / fresh spicy(46.0),winter(24.8) / spring(24.8) / summer(23.2) / fall(35.5),day(92.9) / night(100.0)
Heaven Can Weight,marine(100.0) / coconut(93.8) / aromatic(93.0) / white floral(87.6) / sweet(62.9) / salty(58.0) / lactonic(57.0) / woody(53.1) / aquatic(51.0) / citrus(50.6),winter(10.5) / spring(50.0) / summer(10.5) / fall(32.6),day(65.2) / night(100.0)
Mon Guerlain Sparkling Bouquet,citrus(100.0) / floral(94.2) / fresh(84.9) / lavender(82.8) / fruity(72.9) / sweet(70.5) / powdery(68.4) / fresh spicy(66.9) / vanilla(66.5) / aromatic(65.5),winter(42.8) / spring(32.0) / summer(2.9) / fall(21.3),day(100.0) / night(71.5)
Cherry Smoke,cherry(100.0) / smoky(92.6) / woody(90.8) / leather(84.1) / sweet(81.5) / fruity(73.5) / nutty(65.0) / almond(58.0) / animalic(54.0) / warm spicy(48.3),winter(26.3) / spring(16.0) / summer(6.9) / fall(96.7),day(40.6) / night(19.3)
Black Orchid Perfume,woody(100.0) / warm spicy(90.8) / amber(80.2) / earthy(77.6) / sweet(72.8) / floral(69.7) / citrus(67.1) / powdery(65.2) / fruity(62.7) / white floral(62.7),winter(3.8) / spring(23.1) / summer(0.0) / fall(94.4),day(55.6) / night(50.0)
Pieve Verte,woody(100.0) / aromatic(86.9) / fruity(62.7) / fresh spicy(61.5) / lavender(54.3) / vanilla(52.0) / fresh(50.4) / green(50.4) / powdery(50.2) / citrus(49.3),winter(11.8) / spring(11.8) / summer(2.5) / fall(48.8),day(97.6) / night(70.4)
Promise,woody(100.0) / earthy(69.1) / rose(65.8) / fruity(62.9) / amber(58.3) / musky(56.2) / patchouli(52.2) / leather(52.2) / fresh(50.6) / fresh spicy(49.2),winter(12.6) / spring(16.6) / summer(6.1) / fall(100.0),day(53.7) / night(25.4)
Citadine Kyoto,aromatic(100.0) / citrus(74.8) / woody(71.6) / vanilla(67.2) / fresh spicy(65.0) / musky(56.2) / powdery(54.1) / lavender(51.9) / rose(51.9) / mossy(51.9),winter(100.0) / spring(0.0) / summer(0.0) / fall(100.0),day(100.0) / night(100.0)
Café Rose,rose(100.0) / warm spicy(98.6) / woody(84.4) / patchouli(68.5) / aromatic(65.6) / amber(57.1) / floral(52.4) / balsamic(50.2) / earthy(45.4) / coffee(44.7),winter(67.4) / spring(41.0) / summer(12.8) / fall(87.0),day(53.7) / night(27.1)
Aventus Cologne,citrus(100.0) / woody(96.5) / musky(80.2) / leather(68.2) / fresh spicy(61.5) / powdery(61.0) / smoky(60.6) / aromatic(56.8) / sweet(52.3) / earthy(52.3),winter(11.5) / spring(12.7) / summer(3.1) / fall(17.8),day(91.4) / night(100.0)
Cologne Andéléville,fresh spicy(100.0) / citrus(93.6) / aromatic(82.6) / soft spicy(52.4) / green(44.3),winter(35.3) / spring(10.3) / summer(5.2) / fall(7.0),day(91.4) / night(100.0)
Eau de to Dulness,woody(100.0) / anis(61.2) / soft spicy(58.1) / powdery(57.4) / amber(56.4) / balsamic(51.8) / musky(51.2) / warm spicy(48.2),winter(51.7) / spring(36.7) / summer(10.0) / fall(83.6),day(61.8) / night(30.1)
Infusion d'Rose,rose(100.0) / aromatic(72.3) / green(71.0) / citrus(60.3) / fresh spicy(59.3) / beeswax(55.0) / floral(51.0) / honey(48.8),winter(30.8) / spring(17.2) / summer(0.7) / fall(16.8),day(93.7) / night(77.4)
Scarlet Poppy Cologne Intense,floral(100.0) / vanilla(84.6) / sweet(79.2) / musky(75.4) / amber(69.0) / aromatic(64.7) / fresh spicy(52.5) / warm spicy(45.6),winter(20.4) / spring(9.0) / summer(2.6) / fall(93.1),day(58.7) / night(33.2)
Night Veils Tobacco Mandarin Extract de Parfum,fresh spicy(100.0) / tobacco(94.2) / amber(88.0) / citrus(74.4) / woody(72.5) / sweet(69.8) / leather(67.1) / animalic(65.8) / oud(61.5) / aromatic(54.3),winter(37.5) / spring(34.5) / summer(12.9) / fall(100.0),day(30.9) / night(14.4)
Terre d'Hermes Eau Intense Vetiver,citrus(100.0) / aromatic(86.0) / fresh spicy(83.4) / woody(76.9) / earthy(58.8) / amber(51.3) / warm spicy(44.2) / herbal(44.1),winter(17.3) / spring(22.8) / summer(3.2) / fall(44.8),day(99.7) / night(81.2)
Candy,sweet(100.0) / powdery(99.2) / iris(83.1) / woody(68.8) / cacao(67.5) / vanilla(59.5) / warm spicy(57.5) / violet(56.6) / earthy(51.2) / white floral(48.7),winter(21.9) / spring(6.2) / summer(31.2) / fall(76.0),day(100.0) / night(72.0)
Peony and Blush Suede,floral(100.0) / fresh(72.7) / rose(68.5) / leather(54.5) / musky(47.5) / warm spicy(44.7),winter(25.0) / spring(25.0) / summer(0.0) / fall(0.0),day(100.0) / night(100.0)
Aqua di Gio Homme,citrus(100.0) / aquatic(83.0) / fresh spicy(67.1) / white floral(66.1) / floral(65.6) / fresh(64.4) / amber(63.2) / aromatic(62.7) / sweet(62.3) / woody(61.0),winter(19.2) / spring(17.8) / summer(2.7) / fall(6.9),day(69.0) / night(100.0)
Canel Flower,white floral(100.0) / green(70.6) / fruity(62.7) / lactonic(62.7) / vanilla(58.0) / sweet(56.5),winter(19.3) / spring(18.0) / summer(1.1) / fall(19.6),day(100.0) / night(75.3)
Colonia Pura,citrus(100.0) / ozonic(69.8) / aromatic(65.6) / fresh spicy(56.0) / green(54.2) / white floral(53.7) / woody(52.8) / musky(52.1) / yellow floral(48.9) / powdery(46.5),winter(27.1) / spring(26.7) / summer(2.5) / fall(9.2),day(85.0) / night(100.0)
Neroli 36,white floral(100.0) / citrus(66.8) / aldehydic(65.3) / musky(58.2) / sweet(53.5) / fresh(53.0) / soapy(51.0) / vanilla(48.6) / powdery(47.6) / animalic(44.2),winter(40.3) / spring(49.4) / summer(4.0) / fall(10.1),day(88.8) / night(96.3)
Vanille Fatal,vanilla(100.0) / warm spicy(87.1) / sweet(79.6) / amber(78.0) / woody(74.9) / powdery(64.5) / tobacco(60.8) / balsamic(59.9) / leather(59.7) / aromatic(59.3),winter(21.7) / spring(21.9) / summer(5.1) / fall(100.0),day(32.6) / night(15.5)
Love Extreme,warm spicy(100.0) / musky(91.6) / amber(86.0) / soft spicy(72.0) / powdery(67.8) / rose(63.6) / sweet(60.8) / cherry(58.0) / violet(58.0) / patchouli(58.0),winter(20.0) / spring(60.0) / summer(100.0) / fall(50.0),day(75.0) / night(100.0)
Magnolia Infinita,citrus(100.0) / floral(79.3) / white floral(56.6) / musky(49.7) / yellow floral(45.6),winter(38.1) / spring(30.9) / summer(8.2) / fall(22.2),day(100.0) / night(91.1)
Le Homme,aromatic(100.0) / fresh spicy(80.0) / warm spicy(78.0) / woody(72.0) / vanilla(64.0) / citrus(60.0) / amber(60.0) / herbal(55.0) / powdery(55.0) / green(52.0),winter(0.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Bigarade Concentret,citrus(100.0) / green(76.7) / fresh(66.7) / fresh spicy(51.2) / woody(46.8),winter(20.3) / spring(14.3) / summer(2.6) / fall(14.5),day(70.8) / night(100.0)
Twilly d'Hermes Eau Poivre,rose(100.0) / soft spicy(94.9) / patchouli(81.1) / woody(60.7) / musky(57.8) / warm spicy(55.6) / sweet(53.2) / earthy(50.5) / floral(48.2) / balsamic(45.3),winter(33.5) / spring(46.4) / summer(10.5) / fall(59.4),day(83.6) / night(42.2)
Potpourri,aromatic(100.0) / fresh spicy(97.6) / woody(69.2) / warm spicy(68.5) / balsamic(56.3) / patchouli(48.2) / amber(46.7) / lavender(46.1) / citrus(45.9) / camphor(44.6),winter(45.1) / spring(37.3) / summer(22.9) / fall(70.3),day(67.2) / night(47.7)
Bibliotique,woody(100.0) / smoky(44.0) / powdery(37.0),winter(100.0) / spring(0.0) / summer(0.0) / fall(0.0),day(0.0) / night(0.0)
Un Jardin en Méditerranée Eau de Toiletries,citrus(100.0) / aromatic(46.2) / fresh spicy(45.3) / sweet(42.1) / aldehydic(37.0),winter(2.4) / spring(31.9) / summer(0.2) / fall(6.3),day(61.0) / night(90.3)
Un Jardin en Méditerranée,aromatic(100.0) / woody(99.8) / citrus(98.3) / green(84.7) / fresh spicy(81.2) / fresh(71.3) / sweet(51.3) / floral(47.1) / white floral(45.3),winter(10.3) / spring(23.4) / summer(1.8) / fall(8.7),day(64.7) / night(100.0)
Lily Fantasy,white floral(100.0) / warm spicy(64.7) / green(56.7) / citrus(56.3) / aromatic(46.3) / fresh spicy(44.7),winter(66.7) / spring(0.0) / summer(0.0) / fall(0.0),day(100.0) / night(66.7)
Ambret 9,fruity(100.0) / sweet(91.3) / woody(82.4) / tropical(58.0) / amber(56.9) / fresh(56.8) / mossy(52.4) / vanilla(52.1) / caramel(51.1) / powdery(50.0),winter(12.9) / spring(5.1) / summer(9.3) / fall(95.2),day(99.3) / night(83.1)
Autumn Vibe,woody(100.0) / powdery(73.2) / fresh spicy(69.6) / warm spicy(66.8) / mossy(60.3) / aromatic(56.8) / soft spicy(55.6) / musky(51.3) / earthy(51.2),winter(61.6) / spring(56.9) / summer(19.8) / fall(41.2),day(13.1) / night(5.0)
Hypnose,vanilla(100.0) / floral(89.1) / white floral(78.9) / fruity(65.9) / sweet(64.9) / powdery(51.0) / tropical(48.0) / aromatic(47.1) / woody(47.1) / earthy(44.6),winter(9.2) / spring(50.1) / summer(2.4) / fall(100.0),day(43.8) / night(24.5)
Guilty Absolute Pour Femme,woody(100.0) / fruity(69.0) / rose(63.5) / aromatic(60.9) / patchouli(52.1) / sweet(49.7) / fresh spicy(47.2) / earthy(44.7),winter(18.3) / spring(32.3) / summer(3.2) / fall(77.4),day(61.0) / night(30.9)
Silver Birch & Lavender,lavender(100.0) / woody(80.1) / leather(71.6) / aromatic(63.9) / smoky(63.3) / fresh spicy(59.8) / citrus(59.4),winter(40.4) / spring(26.1) / summer(4.5) / fall(31.1),day(100.0) / night(76.7)
Chloé Signature Naturelle,rose(100.0) / citrus(95.4) / floral(87.0) / yellow floral(78.5) / woody(74.7) / powdery(69.1) / fruity(64.9) / green(49.3) / sweet(48.6) / fresh(48.0),winter(48.0) / spring(47.7) / summer(10.0) / fall(16.4),day(100.0) / night(76.2)
Miracle,floral(100.0) / fresh spicy(85.3) / citrus(69.0) / fruity(68.1) / fresh(61.5) / tropical(54.4) / white floral(47.7) / musky(47.5),winter(9.7) / spring(29.6) / summer(1.3) / fall(26.4),day(93.7) / night(63.4)
Gabrielle Chanel,white floral(100.0) / citrus(90.8) / woody(56.7) / musky(53.7) / powdery(52.7) / sweet(52.1) / fruity(50.2) / tuberose(47.7) / animalic(45.3),winter(31.5) / spring(24.1) / summer(1.9) / fall(43.6),day(74.5) / night(54.5)
