brand,name,size_ml,price_krw,detail_url,description
크리드,어벤투스 오 드 퍼퓸,50ml,255000,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다."
크리드,어벤투스 오 드 퍼퓸,100ml,399220,https://www.bysuco.com/product/show/9370,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 프루티 / 스위트 / 레더\n\n[메인 노트]\n- 탑 노트: 베르가못, 블랙 커런트, 애플, 레몬, 핑크 페퍼\n- 미들 노트: 파인애플, 패출리, 모로칸 자스민\n- 베이스 노트: 자작나무, 머스크, 오크 모스, 암브록산, 시더우드\n\n[향 설명]\n- 용기와 힘, 비전, 그리고 성공을 기원하는 고급진 향\n\n*일부 상품에 한하여 신규로 리뉴얼 된 디자인의 제품이 발송될 수 있습니다.\n이로 인한 교환/반품은 어려운 점 참고 부탁드립니다."
톰 포드,오드 우드 오 드 퍼퓸,30ml,179000,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향"
톰 포드,오드 우드 오 드 퍼퓸,50ml,249000,https://www.bysuco.com/product/show/10716,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 우디 / 오우드 / 웜 스파이시\n\n[메인 노트]\n- 싱글 노트: 아가우드, 브라질리안 로즈우드, 샌달우드, 카다멈, 바닐라, 사천 페퍼, 베티버, 통카 빈, 앰버\n\n[향 설명]\n- 청량한 소나무 계열의 향과 부드러운 침구가 부드럽게 감싸주는 듯한 향"
이솝,테싯 오 드 퍼퓸,50ml,135000,https://www.bysuco.com/product/show/9970,"[부향률] \n- 오 드 퍼퓸\n\n[메인 어코드]\n- 시트러스 / 아로마틱 / 프레쉬 스파이시\n\n[메인 노트]\n- 탑 노트: 유자, 시트러스\n- 미들 노트: 바질\n- 베이스 노트: 베티버, 클로브\n\n[향 설명]\n- 이솝의 시그니처 향기로 따뜻하고 생기넘치며 마음을 릴렉싱 시켜주는 향"
